eid,title,year,abstract,authors,author_ids,references,clean_abstract
3cbdf82a-6781-11ee-b983-4ab2673ea3f0,Paper Title,2016,"Supervisory Control and Data Acquisition (SCADA) systems often serve as the nervous system for substations within power grids. These systems facilitate real-time monitoring, data acquisition, control of equipment, and ensure smooth and efficient operation of the substation and its connected devices. As the dependence on these SCADA systems grows, so does the risk of potential malicious intrusions that could lead to significant outages or even permanent damage to the grid. Previous work has shown that dimensionality reduction-based approaches, such as Principal Component Analysis (PCA), can be used for accurate identification of anomalies in SCADA systems. While not specifically applied to SCADA, non-negative matrix factorization (NMF) has shown strong results at detecting anomalies in wireless sensor networks. These unsupervised approaches model the normal or expected behavior and detect the unseen types of attacks or anomalies by identifying the events that deviate from the expected behavior. These approaches; however, do not model the complex and multi-dimensional interactions that are naturally present in SCADA systems. Differently, non-negative tensor decomposition is a powerful unsupervised machine learning (ML) method that can model the complex and multi-faceted activity details of SCADA events. In this work, we novelly apply the tensor decomposition method Canonical Polyadic Alternating Poisson Regression (CP-APR) with a probabilistic framework, which has previously shown state-of-the-art anomaly detection results on cyber network data, to identify anomalies in SCADA systems. We showcase that the use of statistical behavior analysis of SCADA communication with tensor decomposition improves the specificity and accuracy of identifying anomalies in electrical grid systems. In our experiments, we model real-world SCADA system data collected from the electrical grid operated by Los Alamos National Laboratory (LANL) which provides transmission and distribution service through a partnership with Los Alamos County, and detect synthetically generated anomalies.",Name;Name;Name;Name;Name,3df61b32-6781-11ee-b983-4ab2673ea3f0;3df61c18-6781-11ee-b983-4ab2673ea3f0;3df61c4a-6781-11ee-b983-4ab2673ea3f0;3df61c72-6781-11ee-b983-4ab2673ea3f0;3df61c9a-6781-11ee-b983-4ab2673ea3f0,3cbe2bec-6781-11ee-b983-4ab2673ea3f0;3cbe6d64-6781-11ee-b983-4ab2673ea3f0;3cbe6dd2-6781-11ee-b983-4ab2673ea3f0;3cbe2f98-6781-11ee-b983-4ab2673ea3f0;3cbe717e-6781-11ee-b983-4ab2673ea3f0;3cbe41c2-6781-11ee-b983-4ab2673ea3f0;3cbe6206-6781-11ee-b983-4ab2673ea3f0;3cbe5342-6781-11ee-b983-4ab2673ea3f0;3cbe2674-6781-11ee-b983-4ab2673ea3f0;3cbe02ac-6781-11ee-b983-4ab2673ea3f0,supervisory control acquisition system often serve nervous substation power grid system facilitate real time monitor acquisition control equipment ensure smooth efficient operation substation connect device dependence scada system grow risk potential malicious intrusion significant outage even permanent damage grid dimensionality reduction base approach principal analysis accurate identification anomaly scada system specific scada negative matrix factorization strong detect anomaly wireless sensor network unsupervised approach normal expect behavior detect unseen type attack anomaly identify event deviate expect behavior approach complex multi dimensionality interaction naturally scada system differently negative tensor decomposition power unsupervised machine learn complex multi faceted activity detail scada event novelly apply tensor decomposition canonical polyadic alternate poisson regression probabilistic framework previously state art anomaly cyber network identify anomaly scada system showcase statistical behavior analysis scada communication tensor decomposition improve specific accuracy identify anomaly electrical grid system experiment real world scada collective electrical grid operation los alamos national laboratory provide transmission distribute service partnership los alamos county detect synthetically generate anomaly
3cbdf960-6781-11ee-b983-4ab2673ea3f0,Paper Title,2002,"Supervisory Control and Data Acquisition (SCADA) systems often serve as the nervous system for substations within power grids. These systems facilitate real-time monitoring, data acquisition, control of equipment, and ensure smooth and efficient operation of the substation and its connected devices. As the dependence on these SCADA systems grows, so does the risk of potential malicious intrusions that could lead to significant outages or even permanent damage to the grid. Previous work has shown that dimensionality reduction-based approaches, such as Principal Component Analysis (PCA), can be used for accurate identification of anomalies in SCADA systems. While not specifically applied to SCADA, non-negative matrix factorization (NMF) has shown strong results at detecting anomalies in wireless sensor networks. These unsupervised approaches model the normal or expected behavior and detect the unseen types of attacks or anomalies by identifying the events that deviate from the expected behavior. These approaches; however, do not model the complex and multi-dimensional interactions that are naturally present in SCADA systems. Differently, non-negative tensor decomposition is a powerful unsupervised machine learning (ML) method that can model the complex and multi-faceted activity details of SCADA events. In this work, we novelly apply the tensor decomposition method Canonical Polyadic Alternating Poisson Regression (CP-APR) with a probabilistic framework, which has previously shown state-of-the-art anomaly detection results on cyber network data, to identify anomalies in SCADA systems. We showcase that the use of statistical behavior analysis of SCADA communication with tensor decomposition improves the specificity and accuracy of identifying anomalies in electrical grid systems. In our experiments, we model real-world SCADA system data collected from the electrical grid operated by Los Alamos National Laboratory (LANL) which provides transmission and distribution service through a partnership with Los Alamos County, and detect synthetically generated anomalies.",Name;Name,3df61cc2-6781-11ee-b983-4ab2673ea3f0;3df61cea-6781-11ee-b983-4ab2673ea3f0,3cbe45d2-6781-11ee-b983-4ab2673ea3f0;3cbe0338-6781-11ee-b983-4ab2673ea3f0;3cbe1d1e-6781-11ee-b983-4ab2673ea3f0;3cbe42e4-6781-11ee-b983-4ab2673ea3f0;3cbe4154-6781-11ee-b983-4ab2673ea3f0;3cbe1576-6781-11ee-b983-4ab2673ea3f0;3cbe0856-6781-11ee-b983-4ab2673ea3f0;3cbe4136-6781-11ee-b983-4ab2673ea3f0;3cbe5da6-6781-11ee-b983-4ab2673ea3f0;3cbe6fee-6781-11ee-b983-4ab2673ea3f0,supervisory control acquisition system often serve nervous substation power grid system facilitate real time monitor acquisition control equipment ensure smooth efficient operation substation connect device dependence scada system grow risk potential malicious intrusion significant outage even permanent damage grid dimensionality reduction base approach principal analysis accurate identification anomaly scada system specific scada negative matrix factorization strong detect anomaly wireless sensor network unsupervised approach normal expect behavior detect unseen type attack anomaly identify event deviate expect behavior approach complex multi dimensionality interaction naturally scada system differently negative tensor decomposition power unsupervised machine learn complex multi faceted activity detail scada event novelly apply tensor decomposition canonical polyadic alternate poisson regression probabilistic framework previously state art anomaly cyber network identify anomaly scada system showcase statistical behavior analysis scada communication tensor decomposition improve specific accuracy identify anomaly electrical grid system experiment real world scada collective electrical grid operation los alamos national laboratory provide transmission distribute service partnership los alamos county detect synthetically generate anomaly
3cbdf992-6781-11ee-b983-4ab2673ea3f0,Paper Title,1995,"Malware is one of the most dangerous and costly cyber threats to organizations, the public, and national security, and a crucial factor in modern warfare. The adoption of ML-based solutions against malware threats has been relatively slow despite the potential cost savings. The majority of prior malware defense solutions based on ML do not sufficiently address the following real-world challenges; considering the cost associated with labeled malware, use of supervised solutions that poorly generalize to new malware, training and testing models under class imbalance where both rare and prominent malware are included, and incorporating the ability to identify new/novel malware families. Cybersecurity analysts regularly go through large quantities of malware samples to understand if a new specimen belongs to a previously known malware family. Classifying a new malware sample into a known family reduces the number of files analysts need to examine, and aids in understanding the behavior of the malware, which is helpful for estimating the severity of the threat, developing mitigation strategies, and reducing cost and time spend on malware analysis. We have developed a new ML method, named Malware-DNA, for malware family classification, characterization, and identification that achieves state-of-the-art results and addresses major shortcomings in the field. Malware-DNA considers malware analogous to the genomic DNA, while exploring the hidden hierarchical structure of malware data without prior knowledge, using the ideas of our SmartTensors AI Platform, 2021 R&D100 winner in the IT category and recognized with an R&D100 2021 Market Disruptor Bronze Medal, enabling the discovery of multi-structure composition of malware, and separating mixed latent features. This hierarchical exploration is done based on semi-supervised and unsupervised ML techniques, yielding better generalization to new malware data. Under the DNA analogy, our innovation takes an approach that follows ideas of our recent ML methods in human cancer, the mutations to the genome can cause various inherited diseases such as certain cancers. Similarly, this project treats malware as malicious mutations (e.g., cancer) in the software genome (i.e. the computer code), and targets extraction and recognition of these new mutational malware signatures. The hierarchical approach is a tensor factorization technique that incorporates automatic model determination, combined with the ability to perform abstaining predictions (selective classification, predict “we do not know what this is”), allow Malware-DNA to identify and classify both rare and prominent malwares, work under label imbalance, maintain accuracy even when a low-quantity of labeled data is used, and detect novel malware (i.e. malware without labels or the software that we did not see before). Our method first builds an archive of latent multi-modal signatures (ALMAS) whose combinations describe and characterize complex data. This archive is then used for rapid/real-time characterization and classification of new data and detect unknown or novel phenomena. In our preliminary studies, we created a catalog of malware from multiple families and benign specimens with static analysis features from the EMBER-2018 dataset6. We select one malware class to be the novel family. We showcase the performance of our approach by classifying the malware families and benign-ware, detecting the specimens belonging to the novel malware family, and report our results with Area Under the Curve of Risk-Coverage (AURC) score.",Name;Name;Name;Name,3df61d1c-6781-11ee-b983-4ab2673ea3f0;3df61d3a-6781-11ee-b983-4ab2673ea3f0;3df61d62-6781-11ee-b983-4ab2673ea3f0;3df61d8a-6781-11ee-b983-4ab2673ea3f0,3cbe5c8e-6781-11ee-b983-4ab2673ea3f0;3cbe1bac-6781-11ee-b983-4ab2673ea3f0;3cbe15bc-6781-11ee-b983-4ab2673ea3f0;3cbe4136-6781-11ee-b983-4ab2673ea3f0;3cbe5eaa-6781-11ee-b983-4ab2673ea3f0,malware dangerous costly cyber threat organization public national security crucial factorization modern warfare adoption base solution malware threat relatively potential cost save majority malware defense solution sufficiently address follow real world challenge consider cost associate label malware supervise solution poorly generate malware train test model class imbalance rare prominent malware include incorporate ability identify novel malware family cybersecurity analyst regularly quantity malware sample understand specimen belong previously malware family classify malware sample family reduce file analyst need examine aid understand behavior malware help estimation severity threat develop mitigation strategy reduce cost spend malware analysis develop name malware dna malware family classification characterization identification state art address majority shortcoming field malware dna consider malware analogous genome dna explore hide hierarchical structure malware prior idea smarttensor platform d100 winner category recognize d100 market disruptor bronze medal enable discovery multi structure composition malware separate mix latent feature hierarchical explore semi supervise unsupervised technique yield generate malware dna analogous innovation take follow idea recently method human cancer mutation genome cause inherit disease certain cancer similarly project treat malware malicious mutation software genome target extract recognition mutation malware signature hierarchical tensor factorization incorporate automatic determination combine ability perform abstain prediction allow malware dna identify classify rare prominent malware label imbalance maintain accuracy even low quantity label detect novel malware build archive latent multi modal signature combine describe characterization complex archive rapid real time characterization classification detect unknown novel phenomenon preliminary study create catalog malware multiplication family benign specimen static analysis feature ember-2018 dataset6 malware class novel family showcase perform classify malware family benign ware detect specimen belong novel malware family report curve risk coverage score
3cbdf9ba-6781-11ee-b983-4ab2673ea3f0,Paper Title,2003,"Malware is one of the most dangerous and costly cyber threats to national security and a crucial factor in modern cyber-space. However, the adoption of machine learning (ML) based solutions against malware threats has been relatively slow. Shortcomings in the existing ML approaches are likely contributing to this problem. The majority of current ML approaches ignore real-world challenges such as the detection of novel malware. In addition, proposed ML approaches are often designed either for malware/benign-ware classification or malware family classification. Here we introduce and showcase preliminary capabilities of a new method that can perform precise identification of novel malware families, while also unifying the capability for malware/benign-ware classification and malware family classification into a single framework.",Name;Name;Name;Name;Name;Name;Name;Name;Name;Name,3df61dbc-6781-11ee-b983-4ab2673ea3f0;3df61dda-6781-11ee-b983-4ab2673ea3f0;3df61e02-6781-11ee-b983-4ab2673ea3f0;3df61e20-6781-11ee-b983-4ab2673ea3f0;3df61e48-6781-11ee-b983-4ab2673ea3f0;3df61e70-6781-11ee-b983-4ab2673ea3f0;3df61e8e-6781-11ee-b983-4ab2673ea3f0;3df61eb6-6781-11ee-b983-4ab2673ea3f0;3df61ed4-6781-11ee-b983-4ab2673ea3f0;3df61efc-6781-11ee-b983-4ab2673ea3f0,3cbe0040-6781-11ee-b983-4ab2673ea3f0;3cbe08e2-6781-11ee-b983-4ab2673ea3f0;3cbe7bba-6781-11ee-b983-4ab2673ea3f0;3cbe787c-6781-11ee-b983-4ab2673ea3f0;3cbe528e-6781-11ee-b983-4ab2673ea3f0;3cbe20ac-6781-11ee-b983-4ab2673ea3f0;3cbe2ad4-6781-11ee-b983-4ab2673ea3f0;3cbe7994-6781-11ee-b983-4ab2673ea3f0,malware dangerous costly cyber threat national security crucial factorization modern cyber space adoption machine learn solution malware threat relatively shortcoming exist approach likely contribute majority current approach ignore real world challenge novel malware addition approach often design malware benign ware classification malware family classification showcase preliminary capability perform precise identification novel malware family unify capability malware benign ware classification malware family classification framework
3cbdf9e2-6781-11ee-b983-4ab2673ea3f0,Paper Title,1997,"We propose an efficient, distributed, out-of-memory implementation of the truncated singular value decomposition (t-SVD) for heterogeneous (CPU+GPU) high performance computing (HPC) systems. Various implementations of SVD have been proposed, but most only estimate the singular values as an estimation of the singular vectors which can significantly increase the time and memory complexity of the algorithm. In this work, we propose an implementation of SVD based on the power method, which is a truncated singular values and singular vectors estimation method. Memory utilization bottlenecks seen in the power method are typically associated with the computation of the Gram matrix , which can be significant when  is large and dense, or when  is super-large and sparse. The proposed implementation is optimized for out-of-memory problems where the memory required to factorize a given matrix is greater than the available GPU memory. We reduce the memory complexity of  by using a batching strategy where the intermediate factors are computed block by block. We also suppress I/O latency associated with both host-to-device (H2D) and device-to-host (D2H) batch copies by overlapping each batch copy with compute using CUDA streams. Furthermore, we use optimized  based communicators to reduce the latency associated with collective communications (both intra-node and inter-node). In addition, sparse and dense matrix multiplications are significantly accelerated with GPU cores (or tensors cores when available), resulting in an implementation with good scaling. We demonstrate the scalability of our distributed out of core SVD algorithm to successfully decompose dense matrix of size 1TB and sparse matrix of size 128PB with 1e-6 sparsity.",Name;Name;Name;Name;Name;Name;Name;Name;Name;Name,3df61f24-6781-11ee-b983-4ab2673ea3f0;3df61f56-6781-11ee-b983-4ab2673ea3f0;3df61f74-6781-11ee-b983-4ab2673ea3f0;3df61f9c-6781-11ee-b983-4ab2673ea3f0;3df61fc4-6781-11ee-b983-4ab2673ea3f0;3df61fe2-6781-11ee-b983-4ab2673ea3f0;3df6200a-6781-11ee-b983-4ab2673ea3f0;3df62032-6781-11ee-b983-4ab2673ea3f0;3df62064-6781-11ee-b983-4ab2673ea3f0;3df62082-6781-11ee-b983-4ab2673ea3f0,,propose efficient distribute memory implementation truncate singular decomposition heterogeneous perform compute system implementation svd singular estimation singular vector significantly memory complex propose implementation svd power truncate singular singular vector estimation memory utilization bottleneck power typically associate compute gram matrix significant dense super large sparse implementation optimize memory problem memory factorization matrix greater available gpu memory reduce memory complex batch strategy intermediate factorization compute block block suppress latency associate host device device host batch copy overlap batch copy compute cuda stream furthermore optimize communication reduce latency associate collective communication addition sparse dense matrix multiplication significantly accelerate gpu core result implementation good scale scalability distribute core svd successfully decompose dense matrix size sparse matrix size 128pb sparsity
3cbdfa0a-6781-11ee-b983-4ab2673ea3f0,Paper Title,2020,"Topic modeling is one of the key analytic techniques for organizing and analysis of large text corpora. One approach to topic modeling is the recently introduced SeNMFk, a method based on semantic non-negative matrix factorization (NMF) with automatic model determination (NMFk), where the text-document matrix and word-context (co-occurrence) matrix are jointly factorized. The text-document matrix is the term frequency-inverse document frequency (TF-IDF) matrix, and the word-context matrix represents the number of times two words co-occur in a pre-determined window of text. Incorporating the semantic structure of the text with the ability to estimate the number of topics enables a coherent separation of the latent topics and accurate document clustering. This approach, however, only identifies the highest level of topics or the main topics/themes. Many text corpora often include a very complex structure of sub-topics beyond the main themes. For example, a set of documents can be separated into main topics, such as, sports, politics, science, etc. Each of these main topics can be further separated into sub-topics. For example, sport theme can be separated to the subtopics tennis, soccer, football, etc. This process can be repeated by expanding the separation until finding all the sub-topics in the corpus. Here, we introduce a hierarchical SeNMFk approach, that can extract fine-grained sub-topics and their semantic sub-structures. By hierarchically applying SeNMFk, we break down the main topics and extract previously unknown sub-topics as well as the corresponding sub-semantic structures that can serve as narrow vocabularies – scientific-jargon seeds for local Name Entities Recognition (NER). We demonstrate our hierarchical SeNMFk method by performing topic modeling on all papers posted in arXiv, which is ~2 million+ papers. To enhance the semantic clustering in each topic, we also jointly factorize the category-text matrix, values of which represents the TF-IDF of tokens per document category. Here the categories are pre-determined/reported by the authors of the document based on its field of research in arXiv. Our results show the ability and practicality of our hierarchical SeNMFk to extract meaningful topics and find their semantic sub-structures from large datasets.",Name;Name;Name;Name;Name;Name;Name;Name;Name;Name;Name;Name;Name;Name;Name;Name;Name;Name,3df620b4-6781-11ee-b983-4ab2673ea3f0;3df620dc-6781-11ee-b983-4ab2673ea3f0;3df62104-6781-11ee-b983-4ab2673ea3f0;3df62122-6781-11ee-b983-4ab2673ea3f0;3df6214a-6781-11ee-b983-4ab2673ea3f0;3df62168-6781-11ee-b983-4ab2673ea3f0;3df62190-6781-11ee-b983-4ab2673ea3f0;3df621ae-6781-11ee-b983-4ab2673ea3f0;3df621d6-6781-11ee-b983-4ab2673ea3f0;3df621fe-6781-11ee-b983-4ab2673ea3f0;3df6221c-6781-11ee-b983-4ab2673ea3f0;3df62244-6781-11ee-b983-4ab2673ea3f0;3df6226c-6781-11ee-b983-4ab2673ea3f0;3df62294-6781-11ee-b983-4ab2673ea3f0;3df622b2-6781-11ee-b983-4ab2673ea3f0;3df622da-6781-11ee-b983-4ab2673ea3f0;3df622f8-6781-11ee-b983-4ab2673ea3f0;3df62320-6781-11ee-b983-4ab2673ea3f0,3cbe26ba-6781-11ee-b983-4ab2673ea3f0;3cbdfcb2-6781-11ee-b983-4ab2673ea3f0;3cbe4712-6781-11ee-b983-4ab2673ea3f0;3cbe70ca-6781-11ee-b983-4ab2673ea3f0;3cbe32ae-6781-11ee-b983-4ab2673ea3f0;3cbe6e18-6781-11ee-b983-4ab2673ea3f0;3cbe417c-6781-11ee-b983-4ab2673ea3f0;3cbe0f0e-6781-11ee-b983-4ab2673ea3f0;3cbe67ce-6781-11ee-b983-4ab2673ea3f0;3cbe5004-6781-11ee-b983-4ab2673ea3f0,topic model key analytic technique organization analysis text corpora topic model recently introduce senmfk semantic negative matrix factorization automatic determination text document matrix word context matrix jointly factorization text document matrix frequency inverse document frequency matrix word context matrix represent time word occur pre determination window text incorporate semantic structure text ability topic enable coherent separate latent topic accurate document cluster identify high topic topic theme text corpus often complex structure sub topic theme set document separate topic sport politic science topic separate sub topic sport theme separate subtopic tennis soccer football repeat expand separate find sub topic corpus hierarchical senmfk extract fine grain sub topic semantic sub structure hierarchical apply senmfk break topic extract previously unknown sub topic correspond sub semantic structure serve narrow vocabulary scientific jargon seed name entity recognition hierarchical senmfk perform topic model paper post arxiv paper enhance semantic cluster topic jointly factorization category text matrix represent idf token document category category pre determination report author document field research arxiv ability practicality hierarchical senmfk extract meaningful topic semantic sub structure dataset
3cbdfa32-6781-11ee-b983-4ab2673ea3f0,Paper Title,2008,"Malware is one of the most dangerous and costly cyber threats to national security and a crucial factor in modern cyber-space. However, the adoption of machine learning (ML) based solutions against malware threats has been relatively slow. Shortcomings in the existing ML approaches are likely contributing to this problem. The majority of current ML approaches ignore real-world challenges such as the detection of novel malware. In addition, proposed ML approaches are often designed either for malware/benign-ware classification or malware family classification. Here we introduce and showcase preliminary capabilities of a new method that can perform precise identification of novel malware families, while also unifying the capability for malware/benign-ware classification and malware family classification into a single framework.",Name;Name;Name;Name;Name,3df62348-6781-11ee-b983-4ab2673ea3f0;3df62370-6781-11ee-b983-4ab2673ea3f0;3df6238e-6781-11ee-b983-4ab2673ea3f0;3df623b6-6781-11ee-b983-4ab2673ea3f0;3df623d4-6781-11ee-b983-4ab2673ea3f0,3cbe37ea-6781-11ee-b983-4ab2673ea3f0;3cbe789a-6781-11ee-b983-4ab2673ea3f0;3cbe32f4-6781-11ee-b983-4ab2673ea3f0;3cbe3362-6781-11ee-b983-4ab2673ea3f0;3cbe3100-6781-11ee-b983-4ab2673ea3f0,malware dangerous costly cyber threat national security crucial factorization modern cyber space adoption machine learn solution malware threat relatively shortcoming exist approach likely contribute majority current approach ignore real world challenge novel malware addition approach often design malware benign ware classification malware family classification showcase preliminary capability perform precise identification novel malware family unify capability malware benign ware classification malware family classification framework
3cbdfa50-6781-11ee-b983-4ab2673ea3f0,Paper Title,2017,"We propose an efficient, distributed, out-of-memory implementation of the truncated singular value decomposition (t-SVD) for heterogeneous (CPU+GPU) high performance computing (HPC) systems. Various implementations of SVD have been proposed, but most only estimate the singular values as an estimation of the singular vectors which can significantly increase the time and memory complexity of the algorithm. In this work, we propose an implementation of SVD based on the power method, which is a truncated singular values and singular vectors estimation method. Memory utilization bottlenecks seen in the power method are typically associated with the computation of the Gram matrix , which can be significant when  is large and dense, or when  is super-large and sparse. The proposed implementation is optimized for out-of-memory problems where the memory required to factorize a given matrix is greater than the available GPU memory. We reduce the memory complexity of  by using a batching strategy where the intermediate factors are computed block by block. We also suppress I/O latency associated with both host-to-device (H2D) and device-to-host (D2H) batch copies by overlapping each batch copy with compute using CUDA streams. Furthermore, we use optimized  based communicators to reduce the latency associated with collective communications (both intra-node and inter-node). In addition, sparse and dense matrix multiplications are significantly accelerated with GPU cores (or tensors cores when available), resulting in an implementation with good scaling. We demonstrate the scalability of our distributed out of core SVD algorithm to successfully decompose dense matrix of size 1TB and sparse matrix of size 128PB with 1e-6 sparsity.",Name;Name;Name;Name;Name,3df623fc-6781-11ee-b983-4ab2673ea3f0;3df62424-6781-11ee-b983-4ab2673ea3f0;3df6244c-6781-11ee-b983-4ab2673ea3f0;3df6246a-6781-11ee-b983-4ab2673ea3f0;3df62492-6781-11ee-b983-4ab2673ea3f0,3cbe7b06-6781-11ee-b983-4ab2673ea3f0;3cbe67f6-6781-11ee-b983-4ab2673ea3f0;3cbe1a8a-6781-11ee-b983-4ab2673ea3f0,propose efficient distribute memory implementation truncate singular decomposition heterogeneous perform compute system implementation svd singular estimation singular vector significantly memory complex propose implementation svd power truncate singular singular vector estimation memory utilization bottleneck power typically associate compute gram matrix significant dense super large sparse implementation optimize memory problem memory factorization matrix greater available gpu memory reduce memory complex batch strategy intermediate factorization compute block block suppress latency associate host device device host batch copy overlap batch copy compute cuda stream furthermore optimize communication reduce latency associate collective communication addition sparse dense matrix multiplication significantly accelerate gpu core result implementation good scale scalability distribute core svd successfully decompose dense matrix size sparse matrix size 128pb sparsity
3cbdfa78-6781-11ee-b983-4ab2673ea3f0,Paper Title,2000,"Non-negative matrix factorization (NMF) with missing-value completion is a well-known effective Collaborative Filtering (CF) method used to provide personalized user recommendations. However, traditional CF relies on a privacy-invasive collection of user data to build a central recommender model. One-shot federated learning has recently emerged as a method to mitigate the privacy problem while addressing the traditional communication bottleneck of federated learning. In this paper, we present the first one-shot federated CF implementation, named One-FedCF, for groups of users or collaborating organizations. In our solution, the clients first apply local CF in-parallel to build distinct, client-specific recommenders. Then, the privacy-preserving local item patterns and biases from each client are shared with the processor to perform joint factorization in order to extract the global item patterns. Extracted patterns are then aggregated to each client to build the local models via information retrieval transfer. In our experiments, we demonstrate our approach with two MovieLens datasets and show results competitive with the state-of-the-art federated recommender systems at a substantial decrease in the number of communications.",Name;Name;Name;Name;Name;Name,3df624ba-6781-11ee-b983-4ab2673ea3f0;3df624d8-6781-11ee-b983-4ab2673ea3f0;3df62500-6781-11ee-b983-4ab2673ea3f0;3df6251e-6781-11ee-b983-4ab2673ea3f0;3df62546-6781-11ee-b983-4ab2673ea3f0;3df62564-6781-11ee-b983-4ab2673ea3f0,3cbe6a12-6781-11ee-b983-4ab2673ea3f0;3cbe3b6e-6781-11ee-b983-4ab2673ea3f0;3cbe0856-6781-11ee-b983-4ab2673ea3f0;3cbe363c-6781-11ee-b983-4ab2673ea3f0;3cbe410e-6781-11ee-b983-4ab2673ea3f0;3cbe13aa-6781-11ee-b983-4ab2673ea3f0;3cbe465e-6781-11ee-b983-4ab2673ea3f0;3cbe1030-6781-11ee-b983-4ab2673ea3f0;3cbe2c14-6781-11ee-b983-4ab2673ea3f0,negative matrix factorization miss value completion well know collaborative filter personalize user recommender traditional rely privacy invasive collective user build central recommender shoot federate learn recently emerge mitigation privacy address traditional communication bottleneck federate learn shoot federate implementation name fedcf group user collaborative organization client apply parallel build distinct client specific recommender privacy preserve item pattern bias client share processor perform joint factorization extract item pattern extract pattern aggregate client build model information retrieval transfer experiment movielen dataset competitive state art federate recommender system substantial communication
3cbdfaa0-6781-11ee-b983-4ab2673ea3f0,Paper Title,2011,"Supervisory Control and Data Acquisition (SCADA) systems often serve as the nervous system for substations within power grids. These systems facilitate real-time monitoring, data acquisition, control of equipment, and ensure smooth and efficient operation of the substation and its connected devices. As the dependence on these SCADA systems grows, so does the risk of potential malicious intrusions that could lead to significant outages or even permanent damage to the grid. Previous work has shown that dimensionality reduction-based approaches, such as Principal Component Analysis (PCA), can be used for accurate identification of anomalies in SCADA systems. While not specifically applied to SCADA, non-negative matrix factorization (NMF) has shown strong results at detecting anomalies in wireless sensor networks. These unsupervised approaches model the normal or expected behavior and detect the unseen types of attacks or anomalies by identifying the events that deviate from the expected behavior. These approaches; however, do not model the complex and multi-dimensional interactions that are naturally present in SCADA systems. Differently, non-negative tensor decomposition is a powerful unsupervised machine learning (ML) method that can model the complex and multi-faceted activity details of SCADA events. In this work, we novelly apply the tensor decomposition method Canonical Polyadic Alternating Poisson Regression (CP-APR) with a probabilistic framework, which has previously shown state-of-the-art anomaly detection results on cyber network data, to identify anomalies in SCADA systems. We showcase that the use of statistical behavior analysis of SCADA communication with tensor decomposition improves the specificity and accuracy of identifying anomalies in electrical grid systems. In our experiments, we model real-world SCADA system data collected from the electrical grid operated by Los Alamos National Laboratory (LANL) which provides transmission and distribution service through a partnership with Los Alamos County, and detect synthetically generated anomalies.",Name;Name;Name,3df6258c-6781-11ee-b983-4ab2673ea3f0;3df625b4-6781-11ee-b983-4ab2673ea3f0;3df625dc-6781-11ee-b983-4ab2673ea3f0,3cbe663e-6781-11ee-b983-4ab2673ea3f0,supervisory control acquisition system often serve nervous substation power grid system facilitate real time monitor acquisition control equipment ensure smooth efficient operation substation connect device dependence scada system grow risk potential malicious intrusion significant outage even permanent damage grid dimensionality reduction base approach principal analysis accurate identification anomaly scada system specific scada negative matrix factorization strong detect anomaly wireless sensor network unsupervised approach normal expect behavior detect unseen type attack anomaly identify event deviate expect behavior approach complex multi dimensionality interaction naturally scada system differently negative tensor decomposition power unsupervised machine learn complex multi faceted activity detail scada event novelly apply tensor decomposition canonical polyadic alternate poisson regression probabilistic framework previously state art anomaly cyber network identify anomaly scada system showcase statistical behavior analysis scada communication tensor decomposition improve specific accuracy identify anomaly electrical grid system experiment real world scada collective electrical grid operation los alamos national laboratory provide transmission distribute service partnership los alamos county detect synthetically generate anomaly
